,username,no_review,review_list,no_product,product_dict,mean_rating
11751,lidiyaross,2,"[nan, nan]",2,"{'776567fe-60c2-4b68-89db-ab79d83175c2': 1, 'd19cf120-93e6-4f1c-89c2-2b18187139cb': 1}",5.0
11752,lidyatoy0405,1,[nan],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
11753,liew89,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11754,liewflorida,1,['Performance: good\nBest Feature(s): color\nValue For Money: yes\nItem was delivered in 3 days and well packed and received.. the keys sound a bit plasticky but overall ok'],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11755,liewguokang,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11756,liewinnchiat,1,[nan],1,{'d79335f3-7e30-4907-b32e-b84d308b5902': 1},5.0
11757,liewjiaying13,1,['Defect item'],1,{'c705be11-b815-44a5-9001-5f949c89c587': 1},1.0
11758,liewlc,1,['Received within a week. Bluetooth keyboard and mouse works well with my Galaxy Tab. Tried and easy to connect with manuals available.'],1,{'6f57eed4-a7a1-4c01-8b43-2ddc489fdf68': 1},5.0
11759,liewnat91,1,[nan],1,{'8e400235-9c07-4921-9ccf-884969d7e67f': 1},5.0
11760,liewshaunkheng,1,['Good condition. Thanks!'],1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11761,liewsheykeat,1,[nan],1,{'ffd204e4-8711-489a-9ca6-0796527b776f': 1},5.0
11762,liewshimin,1,[nan],1,{'ce520951-35f9-4e51-a4cb-fd659ce4416f': 1},5.0
11763,life120,1,['Item received within 1-2 days time upon ordering. Keyboard and mouse works well and quite silent as well'],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
11764,lifefouyou,1,[nan],1,{'ffd204e4-8711-489a-9ca6-0796527b776f': 1},5.0
