,reviewee,reviewer,reviewer_identity,review_date,review_star,Amazing chat,review,Goes the extra mile,Knows their stuff,Unique listings,Easygoing buyer,Fast and decisive
133,lifenotsimple.poh,angcarol,buyer,3 years ago,5.0,0.0,"Great Seller to deal with,fast reply & received on times.Hope to deal again Next Times😘",0.0,0.0,0.0,0.0,0.0
134,lifenotsimple.poh,baglabel,buyer,3 years ago,5.0,0.0,great seller smooth transaction recommend 👍,0.0,0.0,0.0,0.0,0.0
135,lifenotsimple.poh,baglabel,buyer,3 years ago,5.0,0.0,great seller smooth transaction recommend 👍,0.0,0.0,0.0,0.0,0.0
136,lifenotsimple.poh,mokymokfoto,buyer,4 years ago,5.0,0.0,A+ seller & prompt too... Very pleasant to deal with & very accommodating Goods was exactly as described mint!... An asset to Carousell.... Highly recommended & will deal with again...,0.0,0.0,0.0,0.0,0.0
137,lifenotsimple.poh,a.yaya,buyer,4 years ago,5.0,0.0,Great seller to deal with ✌🏻really friendly and prompt in replying. Thank u again!,0.0,0.0,0.0,0.0,0.0
138,lifenotsimple.poh,modzhoh,buyer,4 years ago,5.0,0.0,Very gracious and nice seller.,0.0,0.0,0.0,0.0,0.0
139,lifenotsimple.poh,the.little.shop.of.curiosities,buyer,4 years ago,5.0,0.0,Fast shipping. Properly packed. Great seller.,0.0,0.0,0.0,0.0,0.0
140,lifenotsimple.poh,sellingmystuffstuff,buyer,4 years ago,5.0,0.0,Had a really quick and smooth transaction. Seller gave prompt replies and was very accommodating with the meet up arrangement. Thumbs up,0.0,0.0,0.0,0.0,0.0
141,lifenotsimple.poh,imans,buyer,5 years ago,5.0,0.0,All went well,0.0,0.0,0.0,0.0,0.0
142,lifenotsimple.poh,kate.509,buyer,5 years ago,5.0,0.0,Prompt replies and friendly seller! :),0.0,0.0,0.0,0.0,0.0
143,lifenotsimple.poh,smilyn_81,seller,5 years ago,5.0,0.0,Great buyer 👍🏻,0.0,0.0,0.0,0.0,0.0
144,lifenotsimple.poh,bigboytoyz,buyer,5 years ago,5.0,0.0,"Prompt & Smooth Transaction, Highly Recommended.👍🏻👍🏻👍🏻",0.0,0.0,0.0,0.0,0.0
145,lifenotsimple.poh,petespete,buyer,5 years ago,5.0,0.0,Great seller to deal with! Prompt delivery! Punctual! Pleasant transaction! Speedy replies Thank you! Highly recommended!,0.0,0.0,0.0,0.0,0.0
146,lifenotsimple.poh,zp124,buyer,5 years ago,5.0,0.0,Responsive and punctual seller =) thanks for coming down to meet me,0.0,0.0,0.0,0.0,0.0
147,lifenotsimple.poh,fluffiee,buyer,5 years ago,5.0,0.0,Item received in excellent condition! Accomodating and easy going. Thankyou!,0.0,0.0,0.0,0.0,0.0
148,lifenotsimple.poh,d_d1989,buyer,5 years ago,5.0,0.0,Quick and prompt replies. Friendly and nice person. Thank you for delivering it the next day! 👍🏻,0.0,0.0,0.0,0.0,0.0
149,lifenotsimple.poh,express999,buyer,5 years ago,5.0,0.0,Great seller to deal with!very kind and friendly person...Seller even arranged delivery to my block...so nice of her😊 Item delivered as described Pleasant transaction! Highly recommended 👍🏻👍🏻,0.0,0.0,0.0,0.0,0.0
150,lifenotsimple.poh,utdzeo,seller,5 years ago,5.0,0.0,Great buyer to deal with! Pleasant transaction! Punctual!,0.0,0.0,0.0,0.0,0.0
151,lifenotsimple.poh,xinxin.sg,seller,5 years ago,5.0,0.0,Great buyer to deal with! Pleasant transaction! Speedy replies. Thank you!,0.0,0.0,0.0,0.0,0.0
152,lifenotsimple.poh,jjjj26,buyer,5 years ago,5.0,0.0,Great seller to deal with! Thank you 😃,0.0,0.0,0.0,0.0,0.0
153,lifenotsimple.poh,ninjaaaa,buyer,5 years ago,5.0,0.0,Great seller to deal with! Came all the way to deal at my convenience! Highly recommended and thank you! :DD,0.0,0.0,0.0,0.0,0.0
154,lifenotsimple.poh,witheredwhiteroses,buyer,5 years ago,5.0,0.0,Fast free and friendly seller! will definitey deal with her again :-),0.0,0.0,0.0,0.0,0.0
155,lifenotsimple.poh,danseurcraze,buyer,5 years ago,5.0,0.0,Quick and prompt replies and mailing. Item in great condition!!,0.0,0.0,0.0,0.0,0.0
156,lifenotsimple.poh,melody9s,buyer,5 years ago,5.0,0.0,Great seller to deal with! Speedy replies on my others requests. Happy purchasing experience.,0.0,0.0,0.0,0.0,0.0
157,lifenotsimple.poh,purchased.1,buyer,5 years ago,5.0,0.0,Great seller! Very responsive and flexible. Easy to deal with and genuine. Highly recommended!!,0.0,0.0,0.0,0.0,0.0
158,lifenotsimple.poh,coolgirl00,buyer,5 years ago,5.0,0.0,Great seller to deal with!,0.0,0.0,0.0,0.0,0.0
159,lifenotsimple.poh,wilt8,buyer,5 years ago,5.0,0.0,Great seller to deal with! Was punctual and prompt in replies. Thank you!,0.0,0.0,0.0,0.0,0.0
160,lifenotsimple.poh,m_rsydi,buyer,5 years ago,5.0,0.0,Very quick and pleasant transaction ! Highly recommended as a seller,0.0,0.0,0.0,0.0,0.0
161,lifenotsimple.poh,weepeng84,buyer,5 years ago,5.0,0.0,Item is in good condition as promised and fast deal from the seller. Seller also kind enough to agree in meeting me at the earliest possible time as my ezlink needs a replacement. Definitely will buy from her again if spotted another item I want :),0.0,0.0,0.0,0.0,0.0
162,lifenotsimple.poh,clearingcloset,seller,5 years ago,5.0,0.0,Great buyer to deal with! Pleasant transaction! Thank you!,0.0,0.0,0.0,0.0,0.0
163,lifenotsimple.poh,kwonsongtrash,buyer,5 years ago,5.0,0.0,"Seller was polite throughout, and the whole transaction was smooth and fuss-free. Hope to deal again! :-)",0.0,0.0,0.0,0.0,0.0
164,lifenotsimple.poh,nora.yusoff,buyer,5 years ago,5.0,0.0,Great seller to deal with! Item delivered as described. Pleasant transaction! Thank you!,0.0,0.0,0.0,0.0,0.0
165,lifenotsimple.poh,baobaobag,buyer,5 years ago,5.0,0.0,Great seller to deal with! Item delivered as described,0.0,0.0,0.0,0.0,0.0
166,lifenotsimple.poh,kangerookit,buyer,5 years ago,5.0,0.0,Very punctual. Thanks,0.0,0.0,0.0,0.0,0.0
