merchant_id,name,Ratings,response rate,joined,products,response time,follower
b247b40a-fa81-4f5f-89f5-ba6f1c7c54df,Ugreen Global Store,1.7k,100%,13 months ago,38,within minutes,5.7k
5b1726b2-4cc2-4da5-8d4e-1c9a359b0ab9,Spark HD ,26.6k,98%,3 years ago,377,within hours,8.6k
422c2518-cb49-4c58-8a3a-4dd903205e6c,Dasher,87.3k,100%,4 years ago,387,within hours,59.3k
27c5001b-a9ba-472b-af98-78d8fa3c368c,NuPhy.sg,3,23%,3 months ago,10,within hours,108
d71fc18f-d2ef-4f9d-9091-2672cf178bd7,Lovihome,166.4k,81%,7 years ago,138,within hours,14.5k
6dc93a23-3bbf-4c42-9db7-cbb72f5ce8b9,Anker Official Store,47.8k,85%,7 years ago,405,within hours,67.2k
a3f1004c-e9e5-437b-8f99-558f7190f6dd,Prolink Official Store,16.8k,93%,5 years ago,127,within hours,8k
eb36155f-defd-44f1-8e03-ea1c10bbfb84,Smart Shopping,46.4k,68%,6 years ago,1.1k,within hours,5.4k
a15e6542-d6bb-4b98-a6fb-e6f09ffb969b,js.garden,1.3k,56%,3 years ago,477,within hours,550
79286616-8cac-4186-b5ae-0c31d876e866,Ugreen Global Store,1.7k,100%,13 months ago,38,within minutes,5.7k
1f49e4d3-20ff-4d29-9894-b83cb86578a4,Surprise every day,7,90%,7 months ago,15,within hours,5
dd778400-e9d4-4b0d-85da-feadd87acad1,Mi TV Store,4.4k,62%,24 months ago,59,within hours,9.7k
5f239d8b-38c6-40bc-ac57-7737c2dfd6ae,Four Seasons🌱🌳🍁☃️,1k,98%,15 months ago,48,within hours,531
198388ed-7c46-4c65-8262-7bfec806d9ed,Fashion Mobile,27.9k,89%,8 years ago,238,within hours,6.4k
41437de9-5b71-441c-8f0a-f75908bd2d7a,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
5fbad251-5c05-4f84-87d5-06c5a38a4308,12BUY.SG,30.6k,97%,7 years ago,421,within hours,16.9k
